changed_parameter,param_changed_by,old_param_value,new_param_value,param_bounds,old_best_obj_fct_value,new_obj_fct_value_after_change,change_of_obj_fct_new/old
snw_dth,1.2,0.0,0.0,"(0.0, 0.0)",0.086657035831965,0.08665703583196505,1.0000000000000004
snw_ast,1.2,-0.6754190807999999,-0.6754190807999999,"(-1.0, 1.0)",0.086657035831965,0.08744481542816629,1.0090907747840447
snw_amt,1.2,1.633946664,1.633946664,"(-0.0, 2.0)",0.086657035831965,0.09446049961982295,1.090049973587713
snw_amf,1.2,0.331945872,0.331945872,"(0.0, 2.0)",0.086657035831965,0.09035968255279359,1.0427275948834474
snw_pmf,1.2,0.2230174476,0.2230174476,"(0.0, 2.0)",0.086657035831965,0.09019804450212898,1.0408623331754652
sl0_mse,1.2,69.42945564,69.42945564,"(0.0, 100.0)",0.086657035831965,0.09326439851153312,1.076247273128293
sl1_mse,1.2,124.62389639999999,124.62389639999999,"(0.0, 200.0)",0.086657035831965,0.09326439851153312,1.076247273128293
sl0_fcy,1.2,157.62958079999999,157.62958079999999,"(0.0, 200.0)",0.086657035831965,0.09444893390442344,1.089916508194067
sl0_bt0,1.2,2.45149092,2.45149092,"(0.0, 3.0)",0.086657035831965,0.09643245004451717,1.1128057764577532
sl1_pwp,1.2,306.75412559999995,306.75412559999995,"(0.0, 400.0)",0.086657035831965,0.09643245004451717,1.1128057764577532
sl1_fcy,1.2,105.1167822,105.1167822,"(0.0, 400.0)",0.086657035831965,0.09643245004451717,1.1128057764577532
sl1_bt0,1.2,0.8217442356,0.8217442356,"(0.0, 4.0)",0.086657035831965,0.09643245004451717,1.1128057764577532
urr_dth,1.2,2.208116532,2.208116532,"(0.0, 20.0)",0.086657035831965,0.096366640563045,1.1120463518958543
lrr_dth,1.2,0.5988368784,0.5988368784,"(0.0, 5.0)",0.086657035831965,0.0963572693391671,1.1119382103723423
urr_rsr,1.2,1.0,1.0,"(0.0, 1.0)",0.086657035831965,0.09622926183504432,1.1104610365584238
urr_tdh,1.2,29.739404399999998,29.739404399999998,"(0.0, 100.0)",0.086657035831965,0.09622926183504432,1.1104610365584238
urr_tdr,1.2,1.0,1.0,"(0.0, 1.0)",0.086657035831965,0.09622926183504432,1.1104610365584238
urr_cst,1.2,0.0003169837212,0.0003169837212,"(0.0, 1.0)",0.086657035831965,0.09627280815985295,1.110963549994183
urr_dro,1.2,0.5009516856,0.5009516856,"(0.0, 1.0)",0.086657035831965,0.0962696713556368,1.110927352076887
urr_ulc,1.2,0.2100732336,0.2100732336,"(0.0, 1.0)",0.086657035831965,0.09674190778998426,1.116376839586051
lrr_tdh,1.2,5551.744631999999,5551.744631999999,"(0.0, 10000.0)",0.086657035831965,0.09674699901385919,1.116435591005668
lrr_cst,1.2,0.012047961119999999,0.012047961119999999,"(0.0, 1.0)",0.086657035831965,0.11181825177216176,1.2903539879783839
lrr_dro,1.2,1.0,1.0,"(0.0, 1.0)",0.086657035831965,0.11181969517000323,1.2903706444198098
